Symptoms,Disease_Code
"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss",D120
"Headache, fever, confusion, seizures, neurological symptoms",D196
"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools",D220
"Neurological symptoms that cannot be explained by a medical condition or injury, such as paralysis, blindness, seizures, or difficulty speaking",D227
"Chest pain, difficulty breathing, tenderness or swelling over the ribcage",D153
"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function",D306
High blood sugar levels during pregnancy,D037
"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone",D140
"Persistent knee pain, stiffness, swelling, limited range of motion",D319
"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity",D347
"Painful lump or swelling on the eyelid, redness, tenderness",D198
"Swelling in arms or legs, feeling of heaviness or tightness",D228
"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions",D060
"Intense itching, visible lice or nits in the affected area",D112
"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure",D350
"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms",D176
"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress",D007
"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)",D289
Recurrent episodes of binge eating without compensatory behaviors,D276
"Fatigue, weight loss, organ dysfunction",D151
"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue",D011
"Shoulder pain, swelling, limited range of motion",D194
"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)",D104
"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold",D082
"Gradual loss of vision, visual field defects",D208
"Vertigo, dizziness, nausea, hearing loss, ear pain",D279
"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue",D371
"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling",D210
"Swollen, red, tender gums, bleeding gums",D259
"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain",D256
"Muscle stiffness, tremors, involuntary movements",D168
"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion",D090
"Muscle twitches or cramps, fatigue, weakness, loss of appetite, nausea, vomiting, irritability, mental confusion, irregular heartbeat, tingling or numbness, personality changes, seizures",D193
"Facial weakness or paralysis, drooping of the mouth or eyelid",D164
"High blood pressure, proteinuria, swelling, headaches, visual disturbances",D148
"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema",D231
"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol",D093
"Persistent head pain, tension in neck and shoulders",D070
"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating",D124
"Excessively concentrated urine, low blood sodium levels",D097
"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding",D144
"Redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise",D302
"Muscle weakness, fatigue, difficulty speaking",D098
"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever",D232
"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting",D069
"Shortness of breath, dry cough, fatigue",D024
"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings",D038
"Hair loss or balding, patchy or generalized hair loss",D145
"Sedation, drowsiness, slurred speech, confusion, respiratory depression",D123
Lack of menstrual periods,D202
"Most colonic polyps do not cause symptoms. Some larger polyps or certain types may cause rectal bleeding or changes in bowel habits, such as diarrhea or constipation.",D183
"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)",D068
"Difficulty seeing objects up close, blurred vision when focusing on near objects",D390
"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years",D280
"Painful urination, abnormal discharge from the genitals, pelvic pain",D222
"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities",D315
"Chronic constipation, abdominal distension, failure to pass meconium (in newborns)",D229
"Lump, swelling, Facial changes",D126
"Bone pain, fractures, fatigue, unexplained weight loss",D147
"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite",D237
"Visible bulge or swelling, discomfort or pain",D087
"Localized muscle pain, trigger points",D334
"Abdominal or flank pain, blood in urine, frequent urination",D317
"Hoarseness, Vocal Changes, Vocal Fatigue",D335
"Severe headaches, nausea, sensitivity to light and sound",D203
"Chest pain, shortness of breath, palpitations",D260
"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing",D354
"Abdominal pain, bloating, heartburn, nausea, acidic taste",D184
"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke",D366
"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",D284
"Motor, cognitive, and psychiatric symptoms",D287
"Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures",D283
"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever",D130
"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability",D039
"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth",D012
"Small, painful blisters on the lips or around the mouth",D349
"Shaking, dizziness, confusion, sweating",D186
"Fatigue, weakness, bone pain, frequent urination, kidney stones",D225
"Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms",D113
"Enlarged, swollen veins, often in the legs",D180
"Fatigue, jaundice, abdominal pain, nausea, vomiting",D374
"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)",D270
"Rash, itching, swelling, fever, respiratory symptoms",D340
"Swollen lymph nodes, fever, fatigue, headache, rash",D118
High blood pressure without proteinuria (preeclampsia),D364
Unintentional urine leakage during physical activity,D278
"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles",D380
"Fatigue, sore throat, swollen lymph nodes",D288
"Widespread musculoskeletal pain, fatigue, sleep disturbances",D337
"Pain, swelling, redness, discharge from the nose",D165
"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges",D282
"Ear pain, hearing loss, recurrent ear infections",D137
"Optic neuritis (vision loss, pain with eye movement), transverse myelitis (weakness, numbness, or paralysis of the limbs, loss of bladder or bowel control)",D155
"Knee pain, swelling, inability to straighten the leg",D199
"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms",D197
"headache, dizziness, blurred vision",D388
"Intense itching, especially at night, small blisters or bumps",D003
"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth",D204
"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea",D116
"Headache, fever, fatigue, cough, meningitis, pneumonia",D236
"Vaginal bleeding, abdominal cramps, pelvic pain",D272
"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool",D027
"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising",D121
"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear",D305
"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes",D224
"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss",D245
"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger",D323
"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting",D359
"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)",D341
"Swelling, pain, dry mouth, bad taste",D128
"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue",D075
"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool",D320
"Painless lump or swelling, Facial changes",D030
"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)",D084
Symptoms that do not meet the full criteria for a specific eating disorder,D328
"Blurred or distorted central vision, blind spots",D108
"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)",D368
"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath",D370
"Red, itchy, and oily patches of skin, dandruff, flaky scalp",D134
